Label.Number,Label.Name
23,Right.Accumbens.Area
30,Left.Accumbens.Area
31,Right.Amygdala
32,Left.Amygdala
36,Right.Caudate
37,Left.Caudate
38,Right.Cerebellum.Exterior
39,Left.Cerebellum.Exterior
47,Right.Hippocampus
48,Left.Hippocampus
55,Right.Pallidum
56,Left.Pallidum
57,Right.Putamen
58,Left.Putamen
59,Right.Thalamus.Proper
60,Left.Thalamus.Proper
61,Right.Ventral.DC
62,Left.Ventral.DC
75,Left.Basal.Forebrain
76,Right.Basal.Forebrain
